Tags,Location (Lat / Long),Lon,Lat,Name,Username,Date,Day,Image URL,id,Material,Material_TT,Item,Item_TT,Brand,Brand_TT,ID_1,Manufacturer,Site Area_m2,Site_Length_m,Road_Width_m,Landuse_Type,Number_Road_Lanes,Both_Sides,Tract,Mean Income_households_2019_5year_census,Median Income_households,Cal_Enviro_Screen,Street Sweeping Schedule,Area_m2,TractID,Name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,layer,path
ground cloth,34.00384212/-117.35496374,-117.35496,34.00384,Site 7A,litterati-92684,16/09/2018 12:59:09 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/b26b1efb-09d6-30a8-95b6-45e773986e6b-92684/180x180.jpg,1913722,Plastic,plastic,Film-like plastic,film(thin/flexiblee.g.strawwrapper),,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"bottlecap, metal",34.00384091/-117.35497602,-117.35498,34.00384,Site 7A,litterati-92684,16/09/2018 12:59:46 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/5933e8fd-b69b-3521-a580-bff1b1ef308b-92684/180x180.jpg,1913723,Metal,metal,Bottlecap,bottlecaps,Starbucks,Starbucks,1376,Starbucks,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"styrofoam, cup, polar pop",33.99843042/-117.36171774,-117.36172,33.99843,Site 6,stanley-7,16/11/2018 01:00:19 GMT,11/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/16/08a597e0-e947-11e8-9f10-0ba0af958ec9-101265/180x180.jpg,2166374,styrofoam,foam,cup,cups,polar pop,polar pop,,other,11982.53300,483.10000,11.20000,Mixed,2,Yes,301.04000,92902,70270,95-100,? 2nd and 4th Friday am? Area not colored on map.,3.27347e+06,6065030104,Stanley,,,,,,1,0,-1,,,Stanley Stanley.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Stanley.kmz
"plastic, bag",33.99841005/-117.36170658,-117.36171,33.99841,Site 6,stanley-7,16/11/2018 01:00:57 GMT,11/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/16/0a50afd0-e947-11e8-9f10-0ba0af958ec9-101265/180x180.jpg,2166375,plastic,plastic,bag,bags,,,,other,11982.53300,483.10000,11.20000,Mixed,2,Yes,301.04000,92902,70270,95-100,? 2nd and 4th Friday am? Area not colored on map.,3.27347e+06,6065030104,Stanley,,,,,,1,0,-1,,,Stanley Stanley.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Stanley.kmz
"plastic, wrapper, foodwrapper, ruffles",33.99839243/-117.36170394,-117.36170,33.99839,Site 6,stanley-7,16/11/2018 01:01:35 GMT,11/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/16/0b8697c0-e947-11e8-9f10-0ba0af958ec9-101265/180x180.jpg,2166376,plastic,plastic,food wrapper,foodwrappers,ruffles,Ruffles,1086,PepsiCo,11982.53300,483.10000,11.20000,Mixed,2,Yes,301.04000,92902,70270,95-100,? 2nd and 4th Friday am? Area not colored on map.,3.27347e+06,6065030104,Stanley,,,,,,1,0,-1,,,Stanley Stanley.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Stanley.kmz
"plastic, bag, ziplock",33.9983916/-117.36170556,-117.36171,33.99839,Site 6,stanley-7,16/11/2018 01:02:08 GMT,11/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/16/0d082eb0-e947-11e8-9f10-0ba0af958ec9-101265/180x180.jpg,2166377,plastic,plastic,bag,bags,ziploc,Ziploc,1373,SC Johnson,11982.53300,483.10000,11.20000,Mixed,2,Yes,301.04000,92902,70270,95-100,? 2nd and 4th Friday am? Area not colored on map.,3.27347e+06,6065030104,Stanley,,,,,,1,0,-1,,,Stanley Stanley.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Stanley.kmz
"plastic, cigarettebutt",33.99836486/-117.36174499,-117.36174,33.99836,Site 6,stanley-7,16/11/2018 01:02:45 GMT,11/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/16/0e3d5350-e947-11e8-9f10-0ba0af958ec9-101265/180x180.jpg,2166378,plastic,plastic,cigarette butt,cigarettebutts,,,,other,11982.53300,483.10000,11.20000,Mixed,2,Yes,301.04000,92902,70270,95-100,? 2nd and 4th Friday am? Area not colored on map.,3.27347e+06,6065030104,Stanley,,,,,,1,0,-1,,,Stanley Stanley.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Stanley.kmz
"paper, gumwrapper",34.12699655/-117.80638101,-117.80638,34.12700,Site 4,loktrevor,16/11/2018 01:03:25 GMT,11/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/16/6cc54510-e93b-11e8-9f10-0ba0af958ec9-100911/180x180.jpg,2166311,Paper,paper,Gum Wrapper,foodwrappersorcontainers,,,,other,6884.76800,415.30000,10.60000,Residential,2,Yes,4004.03000,119181,106875,40-45,"weird Wednesday 1st and 3rd and 5th if available Zone 1A, https://sandimasca.gov/street-sweeping-calendar/2021-10/",1.29099e+07,6037400403,trevor,,,,,,1,0,-1,,,trevor trevor.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/trevor.kmz
"plastic, cigarettebox, camel",33.9983293/-117.36173418,-117.36173,33.99833,Site 6,stanley-7,16/11/2018 01:03:40 GMT,11/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/16/101128f0-e947-11e8-9f10-0ba0af958ec9-101265/180x180.jpg,2166379,plastic,plastic,cigarette box,cigarettepackets,camel,Camel,1311,RJ Reynolds,11982.53300,483.10000,11.20000,Mixed,2,Yes,301.04000,92902,70270,95-100,? 2nd and 4th Friday am? Area not colored on map.,3.27347e+06,6065030104,Stanley,,,,,,1,0,-1,,,Stanley Stanley.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Stanley.kmz
"cigarette, plastic, marlboro",34.12701235/-117.80635843,-117.80636,34.12701,Site 4,loktrevor,16/11/2018 01:04:14 GMT,11/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/16/8a0a8e50-e93b-11e8-9f10-0ba0af958ec9-100911/180x180.jpg,2166312,Plastic,plastic,Cigarette,cigarettes/cigartips,Marlboro,Marlboro,1150,Philip Morris,6884.76800,415.30000,10.60000,Residential,2,Yes,4004.03000,119181,106875,40-45,"weird Wednesday 1st and 3rd and 5th if available Zone 1A, https://sandimasca.gov/street-sweeping-calendar/2021-10/",1.29099e+07,6037400403,trevor,,,,,,1,0,-1,,,trevor trevor.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/trevor.kmz
