id,Material,Item,Brand,Number,Notes
5495752,plastic,tobacco packaging,,,
5495711,paper,towel,,,
5495713,paper,towel,,,
5450234,plastic,unknown wrapper,,,
5461193,metal,washer,,,
5450440,metal,wrapper,,,
5450488,metal,wrapper,,,
5461037,metal,wrapper,,,
5484232,paper,wrapper,,,
5450250,plastic,wrapper,,,
5450251,plastic,wrapper,,,
5450401,plastic,wrapper,,,
5450426,plastic,wrapper,,,
5450463,plastic,wrapper,,,
5461148,plastic,wrapper,,,
5475841,plastic,wrapper,,,
5484192,plastic,wrapper,,,
5484222,plastic,wrapper,,,
5495695,plastic,wrapper,,,
5484233,plastic,ziplock bag,,,
5450421,cloth,,,,
5461008,cloth,,,,
5475796,cloth,,,,
5450468,metal,,,,
5450506,metal,,,,
5484250,metal,,,,
5450240,paper,,,,
5450241,paper,,,,
5450245,paper,,,,
5450404,paper,,,,
5450415,paper,,,,
5450472,paper,,,,
5450487,paper,,,,
5450494,paper,,,,
5450500,paper,,,,
5450501,paper,,,,
5461011,paper,,,,
5461016,paper,,,,
5461161,paper,,,,
5461261,paper,,,,
5461279,paper,,,,
5461374,paper,,,,
5461378,paper,,,,
5461402,paper,,,,
5461422,paper,,,,
5475777,paper,,,,
5475781,paper,,,,
5475899,paper,,,,
5484187,paper,,,,
5484218,paper,,,,
5484227,paper,,,,
5495680,paper,,,,
5495681,paper,,,,
5495682,paper,,,,
5495685,paper,,,,
5495698,paper,,,,
5495719,paper,,,,
5495742,paper,,,,
5495753,paper,,,,
5450226,plastic,,,,
5450227,plastic,,,,
5450433,plastic,,,,
5450434,plastic,,,,
5450435,plastic,,,,
5450437,plastic,,,,
5450441,plastic,,,,
5450448,plastic,,,,
5450456,plastic,,,,
5450460,plastic,,,,
5450518,plastic,,,,
5450519,plastic,,,,
5450521,plastic,,,,
5450537,plastic,,,,
5461007,plastic,,,,
5461009,plastic,,,,
5461010,plastic,,,,
5461011,plastic,,,,
5461016,plastic,,,,
5461031,plastic,,,,
5461035,plastic,,,,
5461189,plastic,,,,
5461190,plastic,,,,
5461191,plastic,,,,
5461195,plastic,,,,
5461211,plastic,,,,
5461230,plastic,,,,
5461256,plastic,,,,
5461273,plastic,,,,
5461285,plastic,,,,
5461382,plastic,,,,
5461394,plastic,,,,
5461395,plastic,,,,
5461417,plastic,,,,
5475783,plastic,,,,
5475832,plastic,,,,
5475843,plastic,,,,
5484207,plastic,,,,
5484228,plastic,,,,
5484252,plastic,,,,
5495679,plastic,,,,
5495714,plastic,,,,
5495738,plastic,,,,
5495750,plastic,,,,
5450225,unknown,,,,
5450235,unknown,,,,
5450236,unknown,,,,
5450259,unknown,,,,
5450408,unknown,,,,
5450410,unknown,,,,
5450420,unknown,,,,
5450439,unknown,,,,
5450447,unknown,,,,
5450469,unknown,,,,
5450474,unknown,,,,
5450475,unknown,,,,
5450486,unknown,,,,
5450531,unknown,,,,
5450540,unknown,,,,
5450542,unknown,,,,
5450543,unknown,,,,
5450544,unknown,,,,
5461013,unknown,,,,
5461020,unknown,,,,
5461034,unknown,,,,
5461121,unknown,,,,
5461143,unknown,,,,
5461246,unknown,,,,
5461401,unknown,,,,
5475901,unknown,,,,
5484202,unknown,,,,
5484236,unknown,,,,
5495729,unknown,,,,
5495731,unknown,,,,
5495747,unknown,,,,
