id,Material,Item,Brand,Notes
4599071,plastic,glowstick,,
4648033,paper,gumwrapper,,
4648029,paper,gumwrapper,,
4517597,paper,gumwrapper,,
4614357,fabric,hairtie,,
4517542,rubber,hairtie,,
4535760,plastic,industrialscrap,,
4535735,plastic,industrialscrap,,
4517665,plastic,industrialscrap,,
4517572,plastic,industrialscrap,,
4517563,plastic,industrialscrap,,
4541958,plastic,insulatedwire,,
4599103,paper,label,,
4535658,paper,label,,
4517653,paper,label,,
4541980,plastic,label,,
4648042,plastic,lid,,
4584071,plastic,lid,,
4517592,plastic,lid,,
4614345,paper,lollipopstick,,
4574815,paper,lollipopstick,,
4541989,paper,lollipopstick,,
4535731,paper,lollipopstick,,
4535705,paper,lollipopstick,,
4517590,paper,lollipopstick,,
4590135,plastic,lollipopstick,,
4639243,glass,marble,,
4599044,plastic,misccontainer,,
4590151,plastic,misccontainer,,
4517669,plastic,misccontainer,,
4632053,paper,miscwrapper,,
4614350,paper,miscwrapper,,
4599047,paper,miscwrapper,,
4590117,paper,miscwrapper,,
4517628,paper,miscwrapper,,
4648095,plastic,miscwrapper,,
4639263,plastic,miscwrapper,,
4599087,plastic,miscwrapper,,
4535668,plastic,miscwrapper,,
4517668,plastic,miscwrapper,,
4517571,plastic,miscwrapper,,
4648085,paper,napkin,,
4648061,paper,napkin,,
4648060,paper,napkin,,
4648045,paper,napkin,,
4590134,paper,napkin,,
4590131,paper,napkin,,
4590116,paper,napkin,,
4584077,paper,napkin,,
4584043,paper,napkin,,
4584040,paper,napkin,,
4574862,paper,napkin,,
4535701,paper,napkin,,
4535697,paper,napkin,,
4535686,paper,napkin,,
4535682,paper,napkin,,
4517649,paper,napkin,,
4517648,paper,napkin,,
4614384,food,nutshell,,
4541952,paper,officepapermail,,
4517626,paper,officepapermail,,
4517601,paper,officepapermail,,
4517667,expandedpolystyrene,packingpeanut,,
4614358,metal,paperclip,,
4517634,paper,papertowel,,
4541956,wood,pencil,,
4574791,paper,piece,,
4517642,plastic,pipefragment,,
4648058,food,pizza,,
4648056,food,pizza,,
4639256,paper,plate,,
4574840,paper,pricetag,,
4574804,paper,pricetag,,
4574788,paper,pricetag,,
4574778,paper,pricetag,,
4517616,paper,pricetag,,
4584048,plastic,pricetag,,
4648096,paper,receipt,,
4541961,plastic,ribbon,,
4517629,plastic,ribbon,,
4632029,fabric,rope,,
4584031,rubber,rubberband,,
4584015,rubber,rubberband,,
4632020,metal,safetypin,,
4639233,plastic,scap,,
4648077,cardboard,scrap,,
4648075,cardboard,scrap,,
4648072,cardboard,scrap,,
4590150,cardboard,scrap,,
4584041,cardboard,scrap,,
4517672,cardboard,scrap,,
4648070,expandedpolystyrene,scrap,,
4632041,expandedpolystyrene,scrap,,
4620318,expandedpolystyrene,scrap,,
4614372,expandedpolystyrene,scrap,,
4590164,expandedpolystyrene,scrap,,
4632048,fabric,scrap,,
4574857,fabric,scrap,,
4541979,fabric,scrap,,
4517589,fabric,scrap,,
4517544,fabric,scrap,,
4639236,metal,scrap,,
4574849,metal,scrap,,
4535732,metal,scrap,,
4517607,metal,scrap,,
4648098,paper,scrap,,
4648097,paper,scrap,,
4648089,paper,scrap,,
4648087,paper,scrap,,
4648086,paper,scrap,,
4648067,paper,scrap,,
4648051,paper,scrap,,
4648050,paper,scrap,,
4648048,paper,scrap,,
4648040,paper,scrap,,
4648028,paper,scrap,,
4639273,paper,scrap,,
4639271,paper,scrap,,
4639268,paper,scrap,,
4639265,paper,scrap,,
4639264,paper,scrap,,
4639253,paper,scrap,,
4639238,paper,scrap,,
4639230,paper,scrap,,
4632052,paper,scrap,,
4632043,paper,scrap,,
4632039,paper,scrap,,
4632037,paper,scrap,,
4632032,paper,scrap,,
4632028,paper,scrap,,
4632027,paper,scrap,,
4620329,paper,scrap,,
4620326,paper,scrap,,
4620325,paper,scrap,,
4620316,paper,scrap,,
4620314,paper,scrap,,
4614383,paper,scrap,,
4614375,paper,scrap,,
4614374,paper,scrap,,
4614371,paper,scrap,,
4614370,paper,scrap,,
4614365,paper,scrap,,
4614361,paper,scrap,,
4614352,paper,scrap,,
4614344,paper,scrap,,
4599098,paper,scrap,,
4599079,paper,scrap,,
4599058,paper,scrap,,
4599049,paper,scrap,,
4599048,paper,scrap,,
4590146,paper,scrap,,
4590145,paper,scrap,,
4590140,paper,scrap,,
4590121,paper,scrap,,
4590113,paper,scrap,,
4590109,paper,scrap,,
4584073,paper,scrap,,
4584061,paper,scrap,,
4584058,paper,scrap,,
4584039,paper,scrap,,
4584028,paper,scrap,,
4584026,paper,scrap,,
4584022,paper,scrap,,
4584021,paper,scrap,,
4574867,paper,scrap,,
4574861,paper,scrap,,
4574831,paper,scrap,,
4574821,paper,scrap,,
4574780,paper,scrap,,
4541986,paper,scrap,,
4541977,paper,scrap,,
4541968,paper,scrap,,
4541955,paper,scrap,,
4535746,paper,scrap,,
4535706,paper,scrap,,
4517645,paper,scrap,,
4517623,paper,scrap,,
4517602,paper,scrap,,
4517588,paper,scrap,,
4648082,plastic,scrap,,
4648052,plastic,scrap,,
4648032,plastic,scrap,,
4639270,plastic,scrap,,
4639254,plastic,scrap,,
4639251,plastic,scrap,,
4639249,plastic,scrap,,
4632025,plastic,scrap,,
4632022,plastic,scrap,,
4632021,plastic,scrap,,
4632019,plastic,scrap,,
4632018,plastic,scrap,,
4620312,plastic,scrap,,
4620308,plastic,scrap,,
4620306,plastic,scrap,,
4614376,plastic,scrap,,
4614347,plastic,scrap,,
4599099,plastic,scrap,,
4599094,plastic,scrap,,
4599072,plastic,scrap,,
4599059,plastic,scrap,,
4599042,plastic,scrap,,
4590168,plastic,scrap,,
4590159,plastic,scrap,,
4590156,plastic,scrap,,
4590153,plastic,scrap,,
4590124,plastic,scrap,,
4590122,plastic,scrap,,
4584067,plastic,scrap,,
4584037,plastic,scrap,,
4574847,plastic,scrap,,
4574841,plastic,scrap,,
4574834,plastic,scrap,,
4541987,plastic,scrap,,
4541978,plastic,scrap,,
4541974,plastic,scrap,,
4541964,plastic,scrap,,
4517671,plastic,scrap,,
4517651,plastic,scrap,,
4517647,plastic,scrap,,
4517643,plastic,scrap,,
4517620,plastic,scrap,,
4517613,plastic,scrap,,
4517583,plastic,scrap,,
4517565,plastic,scrap,,
4517562,plastic,scrap,,
4517543,plastic,scrap,,
4517541,plastic,scrap,,
4517538,plastic,scrap,,
4639262,rubber,scrap,,
4599070,rubber,scrap,,
4648078,,scrap,,
4639232,,scrap,,
4517604,,scrap,,
4599078,paper,scraps,,
4639241,metal,screw,,
4584042,metal,screw,,
4574843,metal,screw,,
4535664,metal,screw,,
4648076,plastic,screw,,
4648049,glass,shard,,
4639235,glass,shard,,
4620307,glass,shard,,
4590143,glass,shard,,
4584059,glass,shard,,
4584018,glass,shard,,
4541969,glass,shard,,
4535692,glass,shard,,
4517632,glass,shard,,
4517619,glass,shard,,
4517605,glass,shard,,
4517587,glass,shard,,
4599063,glass,shards,,
4590118,plastic,spoon,,
4639267,paper,sticker,,
4648037,plastic,straw,,
4599085,plastic,straw,,
4599082,plastic,straw,,
4599061,plastic,straw,,
4574856,plastic,straw,,
4574837,plastic,straw,,
4574828,plastic,straw,,
4535693,plastic,straw,,
4535685,plastic,straw,,
4517670,plastic,straw,,
4517539,plastic,straw,,
4590115,plastic,strawandlid,,
4574845,plastic,strawandlid,,
4541988,plastic,strawandlid,,
4639246,paper,strawwrapper,,
4620322,paper,strawwrapper,,
4574866,paper,strawwrapper,,
4574839,paper,strawwrapper,,
4574814,paper,strawwrapper,,
4541965,paper,strawwrapper,,
4541957,paper,strawwrapper,,
4535749,paper,strawwrapper,,
4535748,paper,strawwrapper,,
4517546,paper,strawwrapper,,
4614353,plastic,strawwrapper,,
4599101,plastic,strawwrapper,,
4599084,plastic,strawwrapper,,
4590142,plastic,strawwrapper,,
4574860,plastic,strawwrapper,,
4574787,plastic,strawwrapper,,
4517598,plastic,strawwrapper,,
4614363,fabric,string,,
4590144,fabric,string,,
4541951,fabric,string,,
4620334,paper,tag,,
4535651,paper,tag,,
4584070,plastic,tag,,
4590126,plastic,tape,,
4584019,plastic,tape,,
4517595,plastic,tape,,
4517540,plastic,tape,,
4614368,paper,teabag,,
4632054,paper,tissue,,
4614359,paper,tissue,,
4599096,paper,tissue,,
4590133,paper,tissue,,
4517561,paper,toiletpaperroll,,
4535702,fabric,towelette,,
4517581,fabric,towelette,,
4639276,expandedpolystyrene,toy,,
4574820,paper,toy,,
4535764,plastic,toy,,
4535676,plastic,toy,,
4517641,plastic,toy,,
4517638,plastic,toy,,
4517622,plastic,toy,,
4517618,plastic,toy,,
4648043,rubber,toy,,
4599100,rubber,toy,,
4574783,rubber,toy,,
4535704,rubber,toy,,
4517549,rubber,toy,,
4517594,plastic,twisttie,,
4517537,plastic,twisttie,,
4632033,fabric,wetwipe,,
4614382,fabric,wetwipe,,
4614367,fabric,wetwipe,,
4517664,fabric,workgloves,,
4632024,cardboard,,,
4584062,fabric,,,
4648039,paper,,,
4535730,paper,,,
4535709,paper,,,
