id,Material,Item,Brand
4584694,plastic ,misc wrapper ,
4584693,plastic ,misc wrapper ,
4584692,plastic ,misc wrapper ,
4584691,plastic ,misc wrapper ,
4578516,plastic ,misc wrapper ,
4578353,plastic ,misc wrapper ,
4598942,fabric ,misc ,
4606388,paper ,misc ,
4590194,paper ,misc ,
4590175,paper ,misc ,
4578495,paper ,misc ,
4578387,paper ,misc ,
4578377,paper ,misc ,
4578376,paper ,misc ,
4598935,plastic ,misc ,
4590196,plastic ,misc ,
4578369,plastic ,misc ,
4578358,plastic ,misc ,
4538364,paper ,miscwrapper,
4606406,plastic ,miscwrapper,
4598985,paper ,miscwrapper ,
4606404,plastic ,miscwrapper ,
4598979,plastic ,miscwrapper ,
4598975,plastic ,miscwrapper ,
4598970,plastic ,miscwrapper ,
4578385,paper ,napkin ,
4598973,rubber ,pipe ,
4578523,plastic ,plate,
4598938,paper ,receipt,
4538074,paper,receipt ,
4538070,paper,receipt ,
4598982,paper ,receipt ,
4578504,paper ,receipt ,
4578488,paper ,receipt ,
4578371,paper ,receipt ,
4538075,paper ,receipt ,
4538073,paper ,receipt ,
4578350,rubber ,rubberband ,
4590183,plastic ,straw wrapper ,
4584701,plastic ,straw wrapper ,
4598943,plastic ,straw ,
4590205,plastic ,straw ,
4584703,plastic ,straw ,
4584690,plastic ,straw ,
4579077,plastic ,straw ,
4579072,plastic ,straw ,
4578500,plastic ,straw ,
4578499,plastic ,straw ,
4578486,plastic ,straw ,
4606397,expanded polystyrene ,styrofoam ,
4578347,plastic,teabag,
4590185,plastic ,toothbrush ,
4598947,fabric ,towel ,
4538332,paper ,towel ,
4538286,fabric ,wet wipe ,
4484902,fabric ,wet wipes ,
4578366,plastic ,wrapper ,
