from,to
fireworks,tubes for fireworks
fireworks,matches (& fireworks)
"toys, balls, party poppers","toys, balls"
"toys, balls, party poppers",toys & party poppers
"toys, balls, party poppers",toys
car parts,fenders
car parts,tyres and belts
car parts,wheels
shopping bags incl. pieces,bag ends
clothing OR towel OR gloves,clothing OR rags
clothing OR towel OR gloves,gloves
clothing & shoes,shoes OR sandals
bottles & jars,beverage bottles
bottles & jars,foodjars
cans OR tins,cans
cups,"cups, lids, straws"
cups,takeaway cup
caps OR lids,lids
"ice-cream sticks, chip forks, chopsticks, toothpicks",ice lolly sticks OR chip forks
wrappers,sweet papers
wrappers,food wrappers
crisp OR sweet OR lolly OR sandwich wrappers,crisp packets OR sweets wrappers
disposable food & beverage ware,disposablebbq's
disposable food & beverage ware,rigid plastic disposable food and begerage ware
"cups, plates, utensils",utensil
"cups, plates, utensils",coffee cup
cutlery OR trays OR straws,cutlery OR trays
tape,masking tape
bait containers OR crates,bait containers OR packaging
nets and pieces of net,fishing nets
nets and pieces of net,nets and pieces of net <50 cm
nets and pieces of net,nets and pieces of net >50cm
nets and pieces of net,fishingnetandnetpieces>50cm
fishing lures or light sticks,fishing lures
fishing weights,scuba weights
crab or lobster or fish traps,crab trap in need of removal
crab or lobster or fish traps,crab trap that has been removed
"fishing bouys, pots & traps",buoys & floats
"bar, pipe, or wire",pipes & rebar
crates and containers OR baskets,crates and containers
oil or petrol can,engine oil bottles & containers <50 cm
oil or petrol can,engine oil bottles & containers >50 cm
drinks,sports drink
drinks,coffee other
drinks,alcohol other
diapers OR nappies,diapers
towels OR panty liners OR backing strips,panty liners
sanitary towel OR tampon,tampons OR tampon applicators
sanitary towel OR tampon,sanitary towels
strapping bands,strapping bands OR zip-ties
strapping bands,strapping bands (open)
strapping bands,strapping bands (closed)
cigarette butts and filters,cigarette filters
cigarette butts and filters,cigarette butts
cigarette lighters OR tobacco pouches,cigarette packets
cigarette lighters OR tobacco pouches,cigarette lighters
cigarette lighters OR tobacco pouches,tobacco sachets
balloons and balloon sticks,balloons
"toys, balls",balls
"toys, balls",pegs and chips
tyres and belts,tires
clothing OR rags,clothing
clothing OR rags,towels OR rags
shoes OR sandals,boots
shoes OR sandals,flip-flops
shoes OR sandals,shoe
beverage bottles,drink bottles>0.5l
beverage bottles,water bottles
beverage bottles,sport drink bottles
beverage bottles,wine bottle
beverage bottles,soft drink bottles
beverage bottles,juice bottles
beverage bottles,"bottles, etc. >2L"
beverage bottles,bottles <2L
beverage bottles,liquor bottles
beverage bottles,fizzy drink bottle
beverage bottles,ice tea bottles
beverage bottles,beer bottle
beverage bottles,degraded bottle
beverage bottles,drink bottles<=0.5l
beverage bottles,milk bottle
foodjars,jars incl. pieces
cans,beverage cans
"cups, lids, straws",cups and cup lids
"cups, lids, straws","straws, stirrers"
ice lolly sticks OR chip forks,lolly sticks
ice lolly sticks OR chip forks,lollipop sticks & cotton buds
ice lolly sticks OR chip forks,popsicle stick
crisp packets OR sweets wrappers,crisp packets
coffee cup,coffee cup lid
bait containers OR packaging,bait containers
buoys & floats,buoys
buoys & floats,floats for fishing nets
pipes & rebar,piping
crates and containers,crates
tampons OR tampon applicators,tampon applicators
tampons OR tampon applicators,tampons
cigarette lighters,degraded lighters
balls,football
balls,golf ball
tires,tyres without holes OR wheels
tires,tyres with holes
clothing,thongs
beverage cans,beer cans
beverage cans,juices cans
beverage cans,ice tea can
beverage cans,energy can
crisp packets,crisp large
crisp packets,crisp small
