Tags,Location (Lat / Long),Lon,Lat,Name,Username,Date,Day,Image URL,id,Material,Material_TT,Item,Item_TT,Brand,Brand_TT,ID,Manufacturer,Site Area_m2,Site_Length_m,Road_Width_m,Landuse_Type,Number_Road_Lanes,Both_Sides,Tract,Mean Income_households_2019_5year_census,Median Income_households,Cal_Enviro_Screen,Street Sweeping Schedule,Area_m2,TractID
"napkin, paper",34.0040239/-117.35493045,-117.3549305,34.0040239,Site 7A,litterati-92684,16/09/2018 01:52:29 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/0e2fd9ac-8f87-3683-91db-d8042e0273e2-92684/180x180.jpg,1913894,Paper,paper,Napkin,napkins,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
"paper, jackinthebox",34.004024/-117.35493024,-117.3549302,34.004024,Site 7A,litterati-92684,16/09/2018 01:52:46 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/7381e882-6d48-3a50-86ec-ea88dfba331e-92684/180x180.jpg,1913895,Paper,paper,Food Container,foodwrappersorcontainers,Jack in the Box,Jack in the Box,605,Jack in the Box,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
plastic,34.00401669/-117.35490827,-117.3549083,34.00401669,Site 7A,litterati-92684,16/09/2018 01:53:07 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/5a086abd-d7c7-3159-953f-d67200d857a2-92684/180x180.jpg,1913896,Plastic,plastic,Food Wrapper,foodwrappers,Sqwincher Sqweeze,sqwincher sqweeze,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
receipt,34.00403385/-117.35489198,-117.354892,34.00403385,Site 7A,litterati-92684,16/09/2018 01:53:23 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/227ed9fb-5bd6-3171-b9d7-a85d588fe016-92684/180x180.jpg,1913897,Paper,paper,Reciept,reciepts,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
paper,34.00403292/-117.35489562,-117.3548956,34.00403292,Site 7A,litterati-92684,16/09/2018 01:53:38 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/ac8db57d-beab-3448-8902-6e59f1fea140-92684/180x180.jpg,1913898,Paper,paper,Box,other,Quickfix,quickfix,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
strawwrapper,34.00403316/-117.35489593,-117.3548959,34.00403316,Site 7A,litterati-92684,16/09/2018 01:54:00 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/e94c0e24-6c16-3d77-a3a1-22c3b187633c-92684/180x180.jpg,1913899,Plastic,plastic,Straw Wrapper,wrappers,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
plasticlid,34.00403351/-117.35489594,-117.3548959,34.00403351,Site 7A,litterati-92684,16/09/2018 01:54:14 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/024103e8-a7b6-39be-8c85-296b04f39226-92684/180x180.jpg,1913900,Plastic,plastic,Lid,lids,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
paper,34.00403332/-117.354896,-117.354896,34.00403332,Site 7A,litterati-92684,16/09/2018 01:54:35 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/9e82912f-8df9-3c14-9187-7fecc17497bd-92684/180x180.jpg,1913902,Paper,paper,Napkin,napkins,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
styrofoam,34.00406633/-117.35486391,-117.3548639,34.00406633,Site 7A,litterati-92684,16/09/2018 01:54:59 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/a0c824c2-92a5-36d6-bb75-2ccf8a680b3c-92684/180x180.jpg,1913903,Plastic,plastic,,other,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
paper,34.00407654/-117.35485565,-117.3548557,34.00407654,Site 7A,litterati-92684,16/09/2018 01:55:20 GMT,9/16/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/09/16/74c3ca12-f1d2-3d5e-9052-bd8a88c0aa47-92684/180x180.jpg,1913904,Paper,paper,Napkin,napkins,,,,other,2580.624,138.3,9.5,Residential,2,Yes,423,78166,57475,85-90,2nd and 4th Friday AM,10008105,6065042300
